country,region,basin_name,operator_company,hydrocarbon_type,reservoir_status,reservoir_period,lithology,basin_location_inferred,basin_location_external,tectonic_regime_basement-i,tectonic_regime_compression,tectonic_regime_diapir,tectonic_regime_erosion,tectonic_regime_evaporite,tectonic_regime_extension,tectonic_regime_gravity,tectonic_regime_inversion,tectonic_regime_linked,tectonic_regime_reactivation,tectonic_regime_shale,tectonic_regime_strike-slip,tectonic_regime_synsedimentation,tectonic_regime_transpression,tectonic_regime_transtension,tectonic_regime_uplift,structural_setting_backarc,structural_setting_delta,structural_setting_forearc,structural_setting_foreland,structural_setting_intracratonic,structural_setting_inversion,structural_setting_passive-margin,structural_setting_rift,structural_setting_salt,structural_setting_sub-salt,structural_setting_sub-thrust,structural_setting_thrust,structural_setting_wrench,depth,thickness_gross_average_ft,thickness_net_pay_average_ft,porosity,permeability,is_in_water,is_on_island,is_in_gulf,is_in_strait,is_in_delta,is_in_bay,ref_onshore,ref_offshore,ref_lake,onshore_offshore
unknown,unknown,abu gharadig,bapetco,gas-condensate,declining production,cretaceous,sandstone,onshore,onshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7546,361.0,148.0,20.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,greater green river,bta oil producers,oil,nearly depleted,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15460,270.0,35.0,12.8,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,onshore
canada,north america,western canada,imperial oil resources,oil,mature production,devonian,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8540,230.0,60.0,9.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea central,amerada hess,oil,declining production,jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10130,100.0,60.0,18.0,3000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
unknown,unknown,moray firth,nexen,oil,declining production,jurassic,sandstone,offshore,offshore,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9940,360.0,290.0,16.0,100.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
india,unknown,mumbai offshore,ongc,oil,declining production,paleogene,limestone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4542,230.0,82.0,12.0,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,offshore
usa,north america,anadarko,numerous,gas,declining production,permian,dolomite,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1700,240.0,45.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
colombia,latin america,llanos,bp and others,oil,declining production,paleogene,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,13000,400.0,200.0,9.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,north sea central,talisman,oil,nearly depleted,jurassic,thinly-bedded sandstone,offshore,offshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,11787,650.0,390.0,20.0,350.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
thailand,far east,malay,pttep,gas-condensate,plateau production,neogene,sandstone,offshore,offshore,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,3020,3400.0,120.0,22.0,160.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
australia,unknown,eromanga,santos,oil,plateau production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5392,600.0,50.0,18.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
kazakhstan,former soviet union,caspian north,kazakhoil aktobe,oil,developing,carboniferous,limestone,onshore,onshore-offshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,9580,607.0,108.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,scotian,sable offshore energy,gas,developing,jurassic-cretaceous,sandstone,offshore,offshore,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14231,5249.0,500.0,14.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
usa,north america,williston,numerous,oil,mature production,carboniferous,dolomite,onshore,onshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9450,100.0,18.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
china,far east,yinggehai,cnooc,gas,developing,neogene,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3717,660.0,308.0,25.0,88.3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
usa,north america,permian,tenneco,oil,nearly depleted,permian,limestone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10500,120.0,60.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,permian,exxonmobil /conocophillips /chevron,oil,declining production,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4250,370.0,150.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,rub al khali,adma /zadco,oil,plateau production,cretaceous,limestone,onshore-offshore,onshore-offshore,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,6940,145.0,140.0,25.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
canada,north america,western canada,numerous,oil,mature production,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4000,50.0,19.3,13.9,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
turkey,middle east,taurus/zagros,tpao,oil,plateau production,cretaceous,limestone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3691,175.0,115.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
china,far east,jiuquan,petrochina,oil,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11040,620.0,115.0,8.5,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
russia,former soviet union,volga-ural,tatneft,oil,mature production,devonian,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5463,115.0,29.0,19.0,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,qaidam,petrochina,oil,plateau production,neogene,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4199,3281.0,81.0,19.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
france,europe,paris,coparex /triton,oil,mature production,jurassic,limestone,onshore,onshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5990,75.0,60.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,mangyshlak - ustyurt,mangystaumunaigaz,oil,mature production,jurassic,sandstone,onshore,onshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3440,920.0,436.0,21.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
brazil,latin america,reconcavo,petrobras,oil,mature production,cretaceous,conglomerate,onshore,onshore-offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2116,1476.0,180.0,15.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,central graben,bp,oil,mature production,jurassic,sandstone,offshore,offshore,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,10744,410.0,377.0,16.5,300.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
canada,north america,western canada,bp,oil,mature production,devonian,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5500,100.0,14.0,13.5,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
indonesia,far east,sumatra central,caltex pacific indonesia,oil,mature production,neogene,sandstone,onshore,onshore-offshore,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1960,600.0,200.0,26.0,500.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,unknown,permian,whiting oil and gas,oil,rejuvenating,permian,siltstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2600,300.0,100.0,11.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,permian,chevron /conocophillips /total,oil,declining production,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3250,400.0,118.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,beaufort-mackenzie,imperial oil resources,gas,undeveloped,paleogene,sandstone,onshore,onshore-offshore,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7382,1970.0,427.0,17.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,husky energy,oil,plateau production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1900,90.0,50.0,34.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,pan american petroleum,gas-condensate,abandoned,paleogene,shaly sandstone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,10376,400.0,26.0,29.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
usa,north america,big horn,numerous,oil,mature production,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4350,780.0,205.0,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,exxonmobil,oil,nearly depleted,jurassic,dolomite,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15295,350.0,100.0,14.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
norway,europe,north sea northern,statoilhydro,oil,declining production,triassic-jurassic,sandstone,offshore,offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7096,312.0,82.0,24.0,1500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
canada,north america,western canada,bp and others,oil,declining production,triassic,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6125,80.0,22.0,10.2,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,fahud salt,pdo,oil,declining production,permian,dolomite,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,9219,670.0,250.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
unknown,unknown,amadeus,magellan petroleum,gas,declining production,ordovician,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5656,2300.0,174.0,4.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
libya,africa,sirt,lnoc,oil,unknown,cretaceous-paleogene,limestone,onshore,onshore-offshore,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5193,860.0,210.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,paradox,chevron /exxonmobil,oil,nearly depleted,carboniferous,dolomite,onshore,onshore,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5470,100.0,50.0,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
angola,africa,congo,chevron,oil,plateau production,cretaceous,sandstone,offshore,offshore,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3065,450.0,150.0,24.0,500.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
uk,europe,north sea central,chevron,gas-condensate,declining production,jurassic,sandstone,offshore,offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14900,60.0,50.0,20.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
unknown,unknown,sichuan,petrochina,gas,developing,carboniferous,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13780,98.0,79.0,6.0,0.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,greater green river,anadarko,oil,rejuvenating,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4300,70.0,20.0,20.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
russia,former soviet union,siberian western,sibneft (muravlenkovskneft),oil,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8399,1476.0,102.0,18.5,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
thailand,far east,phitsanulok,shell,oil,plateau production,neogene,sandstone,onshore,onshore,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4623,1772.0,262.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,anadarko,apache /burlington,gas,mature production,carboniferous,conglomerate,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14500,46.0,23.0,13.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
china,far east,bohai,petrochina,oil,declining production,paleogene,sandstone,onshore-offshore,onshore-offshore,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8750,1230.0,125.0,15.6,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
russia,former soviet union,siberian western,surgutneftegas,oil,declining production,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7529,52.0,19.0,20.0,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
brazil,latin america,campos,petrobras,oil,declining production,cretaceous,limestone,offshore,onshore-offshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5781,650.0,280.0,25.0,800.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
china,far east,ordos,petrochina,gas,developing,ordovician,dolomite,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,9800,150.0,47.0,5.6,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
uk,europe,wessex,bp,oil,declining production,triassic,sandstone,onshore-offshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4954,525.0,150.0,18.0,100.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore-offshore
usa,north america,gulf of mexico northern onshore,marathon,gas,nearly depleted,jurassic,chalky limestone,onshore,onshore,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,14810,375.0,200.0,25.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
uk,unknown,north sea southern,shell /perenco,gas,nearly depleted,permian,sandstone,offshore,onshore-offshore,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7400,200.0,197.0,15.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
norway,europe,mid-norway shelf,statoilhydro,gas,developing,jurassic,sandstone,offshore,offshore,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6480,459.0,380.0,27.5,5625.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
usa,north america,appalachian,numerous,gas,nearly depleted,devonian,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4850,35.0,11.0,8.0,27.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,gulf of mexico northern onshore,conocophillips,oil,mature production,paleogene,sandstone,onshore,onshore,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3400,1000.0,150.0,26.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,onshore
india,far east,cambay,ongc,oil,declining production,paleogene,sandstone,onshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2873,148.0,33.0,30.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,vikor resources,oil,nearly depleted,cretaceous,sandstone,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4921,115.0,10.0,13.2,190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,cook inlet,chevron,oil,nearly depleted,paleogene,conglomerate,offshore,onshore-offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,8780,500.0,290.0,11.0,125.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,offshore
canada,north america,jeanne d arc,hibernia management development co,oil,developing,cretaceous,sandstone,offshore,offshore,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6627,1180.0,115.0,20.0,220.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
uk,europe,north sea central,chevron,gas-condensate,declining production,jurassic,sandstone,offshore,offshore,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14700,500.0,150.0,16.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,offshore
russia,former soviet union,volga-ural,kuybyshevneft,oil,nearly depleted,carboniferous,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5266,70.0,46.0,20.0,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
turkmenistan,former soviet union,amu darya,turkmengas,gas,mature production,cretaceous,sandstone,onshore,onshore,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11000,148.0,63.0,21.8,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
usa,north america,permian,numerous,oil,mature production,permian,dolomite,onshore,onshore,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5100,900.0,70.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
canada,north america,western canada,husky energy,oil,plateau production,cretaceous,sandstone,onshore,onshore,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1900,58.0,33.0,30.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,onshore
